"shape(H,W)",count,ratio(%)
"(70, 36)",50,0.006
"(59, 55)",50,0.006
"(29, 45)",50,0.006
"(40, 42)",50,0.006
"(59, 67)",50,0.006
"(58, 54)",50,0.006
"(30, 29)",50,0.006
"(26, 50)",50,0.006
"(33, 38)",50,0.006
"(52, 48)",50,0.006
"(57, 54)",50,0.006
"(112, 116)",50,0.006
"(34, 36)",50,0.006
"(38, 43)",50,0.006
"(69, 65)",50,0.006
"(63, 68)",50,0.006
"(73, 61)",50,0.006
"(84, 69)",50,0.006
"(28, 30)",50,0.006
"(60, 69)",50,0.006
"(70, 69)",50,0.006
"(76, 72)",50,0.006
"(41, 30)",50,0.006
"(94, 95)",50,0.006
"(33, 30)",49,0.006
"(74, 75)",49,0.006
"(28, 35)",49,0.006
"(82, 82)",49,0.006
"(78, 80)",48,0.006
"(112, 120)",47,0.006
"(35, 24)",46,0.006
"(89, 81)",45,0.006
"(63, 75)",45,0.006
"(98, 96)",45,0.006
"(52, 35)",43,0.005
"(56, 48)",43,0.005
"(60, 62)",41,0.005
"(97, 54)",38,0.005
"(28, 51)",37,0.005
"(147, 116)",36,0.004
"(144, 204)",35,0.004
"(65, 49)",35,0.004
"(45, 52)",34,0.004
"(71, 60)",33,0.004
"(57, 69)",32,0.004
"(56, 53)",32,0.004
"(40, 17)",30,0.004
"(70, 70)",30,0.004
"(45, 50)",29,0.004
"(41, 56)",28,0.003
"(152, 172)",28,0.003
"(130, 136)",27,0.003
"(66, 69)",26,0.003
"(54, 57)",26,0.003
"(53, 50)",26,0.003
"(109, 111)",26,0.003
"(60, 40)",25,0.003
"(75, 63)",25,0.003
"(27, 33)",25,0.003
"(77, 87)",25,0.003
"(74, 83)",25,0.003
"(51, 51)",25,0.003
"(56, 60)",25,0.003
"(37, 22)",25,0.003
"(103, 117)",25,0.003
"(43, 63)",25,0.003
"(43, 49)",25,0.003
"(64, 49)",25,0.003
"(32, 35)",25,0.003
"(45, 30)",25,0.003
"(79, 79)",25,0.003
"(42, 33)",25,0.003
"(63, 71)",25,0.003
"(54, 56)",25,0.003
"(72, 64)",25,0.003
"(40, 44)",25,0.003
"(50, 44)",25,0.003
"(67, 64)",25,0.003
"(76, 74)",25,0.003
"(65, 66)",25,0.003
"(35, 35)",25,0.003
"(65, 64)",25,0.003
"(83, 91)",25,0.003
"(60, 64)",25,0.003
"(59, 51)",25,0.003
"(67, 67)",25,0.003
"(70, 84)",25,0.003
"(83, 76)",25,0.003
"(42, 46)",25,0.003
"(39, 44)",25,0.003
"(72, 98)",25,0.003
"(72, 73)",25,0.003
"(48, 42)",25,0.003
"(74, 52)",25,0.003
"(69, 72)",25,0.003
"(69, 61)",25,0.003
"(10, 12)",25,0.003
"(10, 11)",25,0.003
"(12, 12)",25,0.003
"(70, 58)",24,0.003
"(107, 183)",24,0.003
"(68, 56)",24,0.003
"(35, 32)",24,0.003
"(31, 35)",24,0.003
"(59, 70)",24,0.003
"(121, 81)",23,0.003
"(73, 64)",23,0.003
"(34, 48)",22,0.003
"(122, 104)",22,0.003
"(49, 44)",21,0.003
"(118, 95)",20,0.002
"(34, 32)",19,0.002
"(56, 54)",19,0.002
"(300, 202)",19,0.002
"(65, 63)",18,0.002
"(136, 205)",18,0.002
"(57, 152)",17,0.002
"(79, 68)",16,0.002
"(82, 76)",16,0.002
"(143, 132)",15,0.002
"(42, 48)",14,0.002
"(156, 139)",14,0.002
"(27, 28)",13,0.002
"(33, 36)",13,0.002
"(53, 49)",13,0.002
"(40, 41)",12,0.001
"(25, 29)",12,0.001
"(63, 36)",12,0.001
"(56, 84)",12,0.001
"(48, 50)",12,0.001
"(55, 40)",12,0.001
"(44, 39)",12,0.001
"(29, 31)",12,0.001
"(89, 157)",11,0.001
"(57, 50)",10,0.001
"(75, 90)",10,0.001
"(54, 70)",9,0.001
"(53, 71)",9,0.001
"(18, 48)",9,0.001
"(30, 38)",9,0.001
"(173, 48)",8,0.001
"(18, 45)",8,0.001
"(52, 45)",8,0.001
"(79, 97)",8,0.001
"(134, 111)",8,0.001
"(72, 136)",8,0.001
"(14, 13)",8,0.001
"(55, 73)",7,0.001
"(90, 90)",7,0.001
"(46, 48)",7,0.001
"(96, 100)",7,0.001
"(129, 127)",7,0.001
"(86, 75)",6,0.001
"(48, 46)",6,0.001
"(39, 38)",6,0.001
"(66, 36)",5,0.001
"(44, 46)",5,0.001
"(32, 30)",5,0.001
"(131, 135)",4,0.0
"(86, 74)",4,0.0
"(13, 76)",4,0.0
"(91, 53)",4,0.0
"(66, 67)",4,0.0
"(151, 78)",4,0.0
"(86, 114)",4,0.0
"(11, 11)",4,0.0
"(19, 26)",4,0.0
"(35, 20)",4,0.0
"(53, 51)",3,0.0
"(88, 82)",3,0.0
"(38, 45)",3,0.0
"(67, 69)",3,0.0
"(68, 79)",2,0.0
"(28, 71)",2,0.0
"(52, 71)",2,0.0
"(50, 59)",2,0.0
"(23, 33)",2,0.0
"(111, 112)",2,0.0
"(52, 44)",2,0.0
"(46, 49)",2,0.0
"(62, 63)",2,0.0
"(59, 28)",1,0.0
"(39, 69)",1,0.0
"(54, 41)",1,0.0
"(61, 59)",1,0.0
"(43, 41)",1,0.0
"(12, 27)",1,0.0
"(37, 71)",1,0.0
"(18, 65)",1,0.0
"(53, 29)",1,0.0
"(32, 71)",1,0.0
"(24, 71)",1,0.0
"(54, 69)",1,0.0
"(36, 55)",1,0.0
"(27, 71)",1,0.0
"(26, 44)",1,0.0
"(54, 64)",1,0.0
"(54, 65)",1,0.0
"(49, 67)",1,0.0
"(53, 70)",1,0.0
"(29, 61)",1,0.0
"(87, 81)",1,0.0
"(45, 36)",1,0.0
"(37, 51)",1,0.0
"(104, 116)",1,0.0
"(88, 62)",1,0.0
"(99, 69)",1,0.0
"(51, 45)",1,0.0
"(51, 42)",1,0.0
"(38, 50)",1,0.0
"(18, 28)",1,0.0
"(40, 50)",1,0.0
"(89, 45)",1,0.0
"(22, 26)",1,0.0
"(28, 42)",1,0.0
"(24, 42)",1,0.0
"(148, 183)",1,0.0
"(38, 49)",1,0.0
"(80, 73)",1,0.0
"(45, 47)",1,0.0
"(79, 33)",1,0.0
"(65, 41)",1,0.0
"(28, 76)",1,0.0
"(123, 103)",1,0.0
"(41, 32)",1,0.0
"(39, 65)",1,0.0
"(61, 55)",1,0.0
"(24, 13)",1,0.0
"(24, 18)",1,0.0
"(18, 4)",1,0.0
"(21, 24)",1,0.0
"(6, 21)",1,0.0
"(15, 3)",1,0.0
"(21, 17)",1,0.0
"(27, 15)",1,0.0
"(18, 44)",1,0.0
